127.0.0.1 - - [28/Aug/2021:12:37:07 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Aug/2021:12:37:08 +0900] "GET /webpro/study/%EB%A7%8C%EB%93%A4%EA%B8%B01.html HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [28/Aug/2021:12:37:08 +0900] "GET /webpro/images/image1.jpg HTTP/1.1" 200 45655
0:0:0:0:0:0:0:1 - - [28/Aug/2021:12:37:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Aug/2021:12:40:46 +0900] "GET /webpro/study/%EB%A7%8C%EB%93%A4%EA%B8%B01.html HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [28/Aug/2021:12:45:34 +0900] "GET /webpro/study/test1.html HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [28/Aug/2021:12:48:17 +0900] "GET /webpro/study/test2.html HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [28/Aug/2021:12:48:17 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Aug/2021:12:48:25 +0900] "GET /webpro/study/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2021:12:48:26 +0900] "GET /webpro/study/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2021:12:48:26 +0900] "GET /webpro/study/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2021:12:48:30 +0900] "GET /webpro/study/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2021:12:48:30 +0900] "GET /webpro/study/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2021:12:48:30 +0900] "GET /webpro/study/test2.html HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [28/Aug/2021:12:48:42 +0900] "GET /webpro/study/test2.html HTTP/1.1" 304 -
