0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:28 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:28 +0900] "GET /boardStudy/css/mystyle.css HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:28 +0900] "GET /boardStudy/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:28 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:39 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:39 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:39 +0900] "GET /boardStudy/css/mystyle.css HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:39 +0900] "GET /boardStudy/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:39 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:40 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:40 +0900] "GET /boardStudy/css/mystyle.css HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:40 +0900] "GET /boardStudy/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:40 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:40 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:40 +0900] "GET /boardStudy/css/mystyle.css HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:40 +0900] "GET /boardStudy/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:05:40 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:06:10 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:06:22 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:06:23 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:06:23 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:06:24 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:06:29 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:06:32 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:06:32 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:06:32 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:06:42 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:06:43 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
